Vertices,Edges,StartTime,EndTime
2,1,32511,32511
2,1,32511,32511
2,1,32511,32511
2,1,32511,32511
2,1,32512,32512
12,121,32512,32513
12,121,32514,32515
12,121,32516,32517
12,121,32517,32519
12,121,32519,32521
22,441,32522,32529
22,441,32530,32536
22,441,32538,32547
22,441,32548,32555
22,441,32556,32563
32,961,32565,32586
32,961,32588,32610
32,961,32612,32635
32,961,32637,32659
32,961,32661,32684
42,1681,32687,32734
42,1681,32738,32786
42,1681,32789,32837
42,1681,32840,32890
42,1681,32893,32943
52,2601,32948,33046
52,2601,33051,33153
52,2601,33157,33254
52,2601,33261,33358
52,2601,33362,33459
62,3721,33470,33644
62,3721,33651,33846
62,3721,33852,34019
62,3721,34026,34192
62,3721,34198,34364
72,5041,34372,34614
72,5041,34623,34870
72,5041,34879,35134
72,5041,35143,35383
72,5041,35392,35634
82,6561,35646,36020
82,6561,36031,36388
82,6561,36399,36751
82,6561,36762,37108
82,6561,37118,37465
92,8281,37478,38007
92,8281,38020,38554
92,8281,38571,39104
92,8281,39117,39653
92,8281,39667,40202
102,10201,40221,40963
102,10201,40980,41749
102,10201,41770,42481
102,10201,42499,43227
102,10201,43244,43972
112,12321,43996,44951
112,12321,44972,45924
112,12321,45951,46882
112,12321,46903,47841
112,12321,47865,48795
122,14641,48823,50087
122,14641,50112,51363
122,14641,51392,52588
122,14641,52617,53853
122,14641,53880,55115
132,17161,55143,56624
132,17161,56655,58135
132,17161,58165,59684
132,17161,59712,61198
132,17161,61228,62770
142,19881,62801,64655
142,19881,64687,66534
142,19881,66571,68390
142,19881,68422,70280
142,19881,70324,72143
152,22801,72182,74397
152,22801,74442,76671
152,22801,76713,78896
152,22801,78936,81172
152,22801,81213,83496
162,25921,83538,86153
162,25921,86199,88885
162,25921,88931,91747
162,25921,91793,94442
162,25921,94488,97217
172,29241,97268,100505
172,29241,100559,103890
172,29241,103953,107237
172,29241,107288,110506
172,29241,110556,113885
182,32761,113949,118339
182,32761,118393,122744
182,32761,122807,127173
182,32761,127234,131574
