Vertices,Edges,StartTime,EndTime
2,2,756,756
2,2,756,756
2,4,756,756
2,4,757,757
2,2,757,757
12,84,757,757
12,73,758,758
12,83,759,759
12,73,759,760
12,77,760,760
22,265,761,763
22,249,764,766
22,276,767,769
22,247,770,771
22,250,772,774
32,519,776,782
32,512,784,791
32,499,793,799
32,531,801,807
32,510,809,816
42,938,820,842
42,899,846,866
42,904,870,890
42,890,893,908
42,877,911,926
52,1352,931,959
52,1388,964,995
52,1379,1000,1030
52,1373,1035,1062
52,1394,1068,1101
62,1988,1107,1153
62,1944,1159,1212
62,2032,1231,1290
62,1964,1297,1344
62,1965,1351,1401
72,2589,1411,1497
72,2597,1505,1587
72,2623,1596,1692
72,2620,1704,1828
72,2616,1836,1940
82,3458,1951,2085
82,3393,2105,2268
82,3381,2278,2416
82,3367,2427,2584
82,3361,2597,2735
92,4261,2748,2942
92,4226,2955,3181
92,4317,3203,3419
92,4323,3433,3653
92,4337,3667,3841
102,5143,3863,4153
102,5169,4170,4457
102,5270,4477,4787
102,5316,4804,5082
102,5244,5099,5381
112,6337,5408,5790
112,6294,5810,6197
112,6311,6217,6599
112,6316,6624,7050
112,6331,7078,7453
122,7542,7476,7981
122,7558,8005,8477
122,7575,8508,9019
122,7482,9042,9567
122,7461,9599,10197
132,8773,10237,11105
132,8773,11134,11849
132,8798,11891,12658
132,8853,12696,13469
132,8722,13515,14302
142,10111,14340,15226
142,10219,15265,16156
142,10119,16188,17303
142,10202,17338,18419
142,10257,18457,19540
152,11533,19583,20678
152,11663,20714,21976
152,11638,22018,23126
152,11568,23171,24266
152,11659,24308,25507
162,13359,25556,27173
162,13112,27229,28651
162,13148,28704,30365
162,13236,30410,31845
162,13322,31910,33502
172,14924,33554,35377
172,14833,35428,37218
172,14783,37268,38944
172,14949,39044,40727
172,14862,40774,42620
182,16721,42684,44930
182,16714,44990,46990
182,16576,47053,49076
182,16889,49129,51459
182,16737,51511,53531
192,18571,53599,56066
192,18579,56124,58539
192,18631,58603,61078
192,18546,61141,63633
192,18474,63703,66092
202,20407,66159,68878
202,20438,68956,71720
202,20474,71791,74654
202,20533,74726,77650
202,20527,77752,80496
212,22551,80572,84301
212,22469,84392,87442
212,22698,87522,91046
212,22677,91132,94387
212,22490,94467,98418
222,24637,98510,102469
222,24933,102564,106788
222,24615,106872,110532
222,24815,110621,114811
222,24768,114905,118692
232,26928,118786,123569
232,27091,123719,128611
232,26957,128708,133787
232,26791,133893,138849
232,27105,138939,143526
242,29391,143628,148928
242,29396,149032,153944
242,29615,154044,159206
242,29440,159320,164834
242,29461,164949,170223
252,31970,170335,176187
252,32059,176326,182479
252,31870,182615,189265
252,31828,189400,195776
252,31851,195901,202543
262,34197,202671,209138
262,34526,209263,216791
262,34395,216919,224310
262,34518,224428,231993
262,34472,232139,240074
272,37343,240203,249216
272,37237,249343,258397
272,37222,258544,266809
272,37333,266936,275924
272,37050,276059,286093
282,39777,286249,297232
282,40165,297381,309647
282,40184,309779,320104
282,39880,320279,331321
282,39855,331470,342170
292,42876,342314,354032
292,42658,354193,368332
292,42761,368592,381932
292,42939,382111,395125
292,42627,395286,407155
302,45663,407320,421035
302,45928,421242,436156
302,45806,436337,448900
302,45790,449062,461192
302,45570,461383,476885
312,48523,477077,490764
312,48777,490936,505005
312,48419,505197,520851
312,48557,521041,536889
312,49049,537200,556321
322,52046,556527,572022
322,51801,572209,587547
322,52138,587735,603545
322,51852,603747,619961
322,52176,620167,637100
332,55334,637317,655374
332,55395,655764,673627
332,55526,673856,692662
332,55315,692884,710363
332,55584,710711,729842
342,58328,730084,750228
342,58734,750593,776247
342,58529,776456,794080
342,58464,794441,817675
342,58778,817887,836888
352,61828,837145,858042
352,62191,858269,877372
352,62132,877613,897256
352,61869,897644,921550
352,61837,921805,943590
362,65466,943830,971893
362,65485,972347,1005684
362,65831,1006077,1031906
362,65676,1032131,1061944
362,65625,1062349,1088329
372,69607,1088603,1118767
372,69454,1119056,1143347
372,69417,1143629,1168525
372,69179,1168821,1193000
372,69153,1193274,1218733
382,73130,1219058,1249820
382,72823,1250273,1288893
382,72776,1289154,1318245
382,73071,1318600,1348243
382,73196,1348703,1375749
392,77500,1376059,1408057
