Vertices,Edges,StartTime,EndTime
1,0,3970342,3970343
1,0,3970343,3970343
1,0,3970343,3970343
1,0,3970344,3970344
1,0,3970344,3970344
11,10,3970345,3970345
11,12,3970345,3970345
11,11,3970346,3970346
11,12,3970346,3970346
11,11,3970347,3970347
21,23,3970349,3970349
21,23,3970350,3970350
21,24,3970350,3970350
21,26,3970351,3970351
21,24,3970351,3970351
31,38,3970353,3970353
31,39,3970355,3970355
31,39,3970357,3970357
31,39,3970359,3970359
31,38,3970361,3970361
41,51,3970365,3970365
41,53,3970368,3970368
41,49,3970372,3970373
41,54,3970375,3970375
41,59,3970379,3970379
51,66,3970383,3970383
51,82,3970391,3970391
51,79,3970397,3970397
51,68,3970404,3970404
51,78,3970410,3970410
61,92,3970417,3970417
61,101,3970425,3970425
61,98,3970433,3970434
61,94,3970442,3970442
61,101,3970452,3970452
71,108,3970462,3970463
71,124,3970475,3970475
71,115,3970482,3970482
71,123,3970494,3970494
71,117,3970505,3970505
81,143,3970519,3970520
81,142,3970534,3970534
81,139,3970552,3970552
81,137,3970561,3970561
81,138,3970569,3970569
91,167,3970578,3970579
91,174,3970588,3970588
91,159,3970607,3970607
91,172,3970625,3970625
91,176,3970639,3970639
101,209,3970648,3970649
101,204,3970664,3970664
101,201,3970686,3970687
101,202,3970709,3970709
101,200,3970736,3970737
111,247,3970757,3970758
111,217,3970772,3970772
111,225,3970790,3970790
111,232,3970805,3970805
111,236,3970832,3970832
121,263,3970868,3970868
121,286,3970900,3970900
121,278,3970938,3970938
121,258,3970970,3970971
121,268,3971003,3971004
131,306,3971028,3971028
131,299,3971064,3971065
131,304,3971101,3971101
131,323,3971123,3971124
131,312,3971148,3971149
141,351,3971171,3971171
141,338,3971197,3971197
141,350,3971219,3971223
141,336,3971252,3971253
141,345,3971283,3971283
151,386,3971313,3971314
151,390,3971355,3971356
151,368,3971405,3971406
151,366,3971448,3971448
151,392,3971492,3971493
161,428,3971530,3971530
161,416,3971560,3971560
161,383,3971609,3971609
161,442,3971657,3971658
161,390,3971719,3971720
171,465,3971792,3971793
171,436,3971855,3971856
171,469,3971924,3971925
171,448,3971964,3971965
171,479,3972010,3972011
181,509,3972057,3972058
181,477,3972102,3972102
181,483,3972147,3972148
181,491,3972190,3972191
181,504,3972232,3972233
191,563,3972279,3972280
191,563,3972334,3972335
191,538,3972401,3972402
191,553,3972471,3972473
191,542,3972535,3972536
201,617,3972621,3972622
201,594,3972697,3972697
201,589,3972766,3972767
201,629,3972835,3972835
201,597,3972885,3972886
211,637,3972938,3972939
211,666,3973023,3973025
211,622,3973087,3973088
211,684,3973177,3973179
211,660,3973241,3973242
221,682,3973306,3973307
221,689,3973414,3973415
