Vertices,Edges,StartTime,EndTime
2,4,84107,84107
2,4,84107,84107
2,4,84107,84107
2,4,84108,84108
2,4,84108,84108
12,144,84109,84109
12,144,84110,84110
12,144,84111,84111
12,144,84112,84112
12,144,84113,84113
22,484,84115,84118
22,484,84119,84124
22,484,84125,84128
22,484,84128,84131
22,484,84132,84136
32,1024,84144,84156
32,1024,84157,84168
32,1024,84171,84183
32,1024,84186,84197
32,1024,84198,84210
42,1764,84213,84241
42,1764,84244,84270
42,1764,84274,84310
42,1764,84315,84360
42,1764,84366,84393
52,2704,84397,84449
52,2704,84458,84516
52,2704,84522,84582
52,2704,84589,84651
52,2704,84658,84708
62,3844,84716,84815
62,3844,84822,84922
62,3844,84934,85023
62,3844,85034,85138
62,3844,85145,85266
72,5184,85277,85467
72,5184,85483,85689
72,5184,85699,85868
72,5184,85877,86085
72,5184,86100,86274
82,6724,86287,86536
82,6724,86549,86829
82,6724,86842,87118
82,6724,87130,87395
82,6724,87411,87733
92,8464,87756,88125
92,8464,88144,88519
92,8464,88539,88929
92,8464,88945,89316
92,8464,89334,89722
102,10404,89746,90290
102,10404,90313,90815
102,10404,90837,91338
102,10404,91364,91878
102,10404,91899,92444
112,12544,92471,93125
112,12544,93152,93886
112,12544,93912,94710
112,12544,94737,95414
112,12544,95438,96208
122,14884,96236,97171
122,14884,97199,98133
122,14884,98166,99089
122,14884,99116,100033
122,14884,100070,100988
132,17424,101028,102483
132,17424,102520,103880
132,17424,103921,105316
132,17424,105353,106715
132,17424,106752,108238
142,20164,108287,109919
142,20164,109973,111706
142,20164,111748,113576
142,20164,113618,115391
142,20164,115463,117139
152,23104,117188,119299
152,23104,119368,121739
152,23104,121800,124126
152,23104,124173,126383
152,23104,126432,128523
162,26244,128577,131309
162,26244,131371,134219
162,26244,134281,136756
162,26244,136812,139653
162,26244,139709,142335
172,29584,142397,145543
172,29584,145603,148978
172,29584,149036,152299
172,29584,152366,155520
172,29584,155585,158887
182,33124,158957,163101
182,33124,163223,167251
182,33124,167318,170882
182,33124,170953,174469
182,33124,174535,178477
192,36864,178555,183212
192,36864,183289,187804
192,36864,187885,192052
192,36864,192132,196750
192,36864,196863,201780
202,40804,201865,207346
202,40804,207447,213031
202,40804,213115,218824
202,40804,218917,225278
202,40804,225363,230802
212,44944,230897,237095
212,44944,237186,244039
212,44944,244147,251520
212,44944,251620,258162
212,44944,258253,264454
